City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Coahuayana,MX,70.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
631,Harper,LR,79.41,overcast clouds,4.375,-7.7169,Screensaver
632,Riberalta,BO,75.87,overcast clouds,-10.9833,-66.1,Hotel Colonial
633,Berbera,SO,83.88,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
634,Kattivakkam,IN,87.89,few clouds,13.2167,80.3167,Euronova Freezer
637,Sao Miguel Do Araguaia,BR,70.88,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
639,Bacungan,PH,87.85,scattered clouds,9.9106,118.7022,Sumayang Property
640,Charters Towers,AU,83.95,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
642,Morondava,MG,70.02,clear sky,-20.2833,44.2833,La Case Bambou
646,Atar,MR,78.26,overcast clouds,20.5169,-13.0499,Oumou Elghoura
647,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
650,Akyab,MM,85.44,few clouds,20.15,92.9,Hotel Memory
652,Champerico,GT,84.33,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
653,Saryozek,KZ,71.76,few clouds,44.3583,77.9753,Gostinitsa
654,Cairns,AU,80.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
657,Karratha,AU,85.5,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
658,Maramag,PH,82.6,broken clouds,7.8167,124.95,Migs Camp
663,Pemangkat,ID,86.29,broken clouds,1.1667,108.9667,Ramah Kost KITA
667,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
669,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
670,Trairi,BR,75.78,broken clouds,-3.2778,-39.2689,janelas do mar
674,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
676,Reyes,BO,71.51,few clouds,-14.3167,-67.3833,
689,Kamakwie,SL,75.51,broken clouds,9.5,-12.2333,White House Hotel
699,Waddan,LY,76.44,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
701,Kirakira,SB,83.08,light rain,-10.4544,161.9205,SanBiz Lodge
702,Kontagora,NG,81.46,overcast clouds,10.3999,5.4695,Queens Guest Inn
707,Bowen,AU,77.9,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
709,Arari,BR,73.06,overcast clouds,-3.4536,-44.78,Churrascaria E Hotel Brisa Do Mearim
711,Yen Bai,VN,70.84,overcast clouds,21.7,104.8667,AK MOTEL
714,Dingle,PH,87.66,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
718,Lexington,US,73.4,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
