City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Melo,UY,-32.3667,-54.1833,53.78,94,99,6.87,overcast clouds
122,Koutsouras,GR,35.0339,25.9469,65.1,56,94,14.25,overcast clouds
123,Arganil,PT,40.2183,-8.054,56.57,75,2,0.81,clear sky
124,Vardo,NO,70.3705,31.1107,29.3,72,96,20.4,light snow
125,Isangel,VU,-19.55,169.2667,81.41,81,100,5.79,overcast clouds
126,Bacolod,PH,10.6667,122.95,88.32,57,100,9.19,overcast clouds
127,Faanui,PF,-16.4833,-151.75,81.3,71,15,10.89,few clouds
128,Port Antonio,JM,18.18,-76.4612,80.51,85,18,7.56,few clouds
129,Mangrol,IN,21.1167,70.1167,85.21,76,1,8.23,clear sky
130,Upernavik,GL,72.7868,-56.1549,-0.72,75,7,7.07,clear sky
131,Port Augusta,AU,-32.5,137.7667,67.93,44,0,4.16,clear sky
132,Mandalgovi,MN,45.7625,106.2708,59.04,19,93,7.54,overcast clouds
133,Cape Town,ZA,-33.9258,18.4232,60.91,83,0,5.99,clear sky
134,Chicama,PE,-7.8447,-79.1469,61.34,83,61,6.24,broken clouds
135,Xining,CN,36.6167,101.7667,38.19,63,91,2.93,overcast clouds
136,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,91,4,2.06,clear sky
137,Luanda,AO,-8.8368,13.2343,77.0,83,40,9.22,scattered clouds
138,Manggar,ID,-2.8833,108.2667,86.92,65,86,5.73,overcast clouds
139,Chuy,UY,-33.6971,-53.4616,56.19,76,100,4.83,overcast clouds
140,Vao,NC,-22.6667,167.4833,74.98,82,37,25.05,scattered clouds
141,Saint George,US,37.1041,-113.5841,81.19,9,0,10.36,clear sky
142,Tasiilaq,GL,65.6145,-37.6368,32.16,57,22,5.61,few clouds
143,Kandara,IN,25.7191,73.2765,89.94,39,0,14.52,clear sky
144,Buala,SB,-8.145,159.5921,83.41,73,100,3.44,light rain
145,Atherton,GB,53.5237,-2.4935,48.42,93,100,1.01,light rain
146,Mareeba,AU,-17.0,145.4333,75.43,82,33,7.99,scattered clouds
147,Save,BJ,8.0425,2.486,74.68,88,45,3.91,scattered clouds
148,Norman Wells,CA,65.282,-126.8329,48.24,46,20,13.8,few clouds
149,Sabang,ID,5.8933,95.3214,84.33,74,99,8.88,overcast clouds
150,Krasnyy Chikoy,RU,50.3643,108.7512,65.05,38,25,10.65,scattered clouds
151,Talnakh,RU,69.4865,88.3972,20.21,88,100,11.25,light snow
152,Severo-Kurilsk,RU,50.6789,156.125,36.57,89,87,6.8,overcast clouds
153,Bud,US,39.447,-86.1758,69.94,79,100,12.35,overcast clouds
154,Bengkulu,ID,-3.8004,102.2655,75.56,94,100,8.25,light rain
155,Hasaki,JP,35.7333,140.8333,63.28,68,100,20.27,overcast clouds
156,Tenenkou,ML,14.4572,-4.9169,90.19,20,21,7.85,few clouds
157,Ostrovnoy,RU,68.0531,39.5131,16.77,87,90,10.38,overcast clouds
158,Acapulco,MX,16.8634,-99.8901,80.42,74,40,4.61,scattered clouds
159,Volno-Nadezhdinskoye,RU,43.3833,131.9917,44.08,70,75,0.0,light intensity shower rain
160,Yanam,IN,16.7333,82.2167,91.29,56,56,5.32,broken clouds
161,Pathein,MM,16.7833,94.7333,92.68,44,39,7.49,scattered clouds
162,Kavieng,PG,-2.5744,150.7967,83.14,72,92,3.89,light rain
163,Roebourne,AU,-20.7833,117.1333,85.35,43,72,13.94,broken clouds
164,Cabo San Lucas,MX,22.8909,-109.9124,81.7,40,20,10.36,few clouds
165,Sidney,AU,-33.8679,151.2073,72.61,54,40,5.99,scattered clouds
166,Garissa,KE,-0.4536,39.6401,77.81,76,88,14.74,overcast clouds
167,Loandjili,CG,-4.7561,11.8578,77.11,100,20,1.14,few clouds
168,Santa Cruz,BO,-17.8,-63.1667,69.26,88,0,5.75,clear sky
169,Khatanga,RU,71.9667,102.5,20.05,91,100,11.3,light snow
170,Vangaindrano,MG,-23.35,47.6,66.94,83,0,5.5,clear sky
171,Malanje,AO,-9.5402,16.341,60.12,93,95,3.33,overcast clouds
172,Tura,IN,25.5198,90.2201,80.94,63,2,0.76,clear sky
173,Gua Musang,MY,4.8823,101.9644,86.74,70,59,2.19,broken clouds
174,Grindavik,IS,63.8424,-22.4338,44.55,87,75,13.8,broken clouds
175,Zhengjiatun,CN,43.5064,123.5064,55.24,20,14,14.72,few clouds
176,Gibraleon,ES,37.3763,-6.969,61.02,65,0,4.76,clear sky
177,Codrington,AU,-38.2667,141.9667,64.63,65,96,13.71,overcast clouds
178,Shuiji,CN,27.4214,118.345,59.27,95,100,2.62,light rain
179,Clyde River,CA,70.4692,-68.5914,12.43,92,100,4.61,light snow
180,Cabinda,AO,-5.55,12.2,77.58,88,100,0.98,overcast clouds
181,Vila,PT,42.0304,-8.1588,41.88,83,18,2.08,few clouds
182,Basco,PH,20.4487,121.9702,82.22,72,47,6.26,scattered clouds
183,Oliver,CA,49.1831,-119.5524,55.31,62,83,2.3,broken clouds
184,Tigil,RU,57.8,158.6667,38.37,78,9,4.14,clear sky
185,Hambantota,LK,6.1241,81.1185,80.94,100,40,3.44,light rain
186,Te Anau,NZ,-45.4167,167.7167,56.05,97,100,1.25,moderate rain
187,Bilma,NE,18.6853,12.9164,88.34,10,89,4.74,overcast clouds
188,Raudeberg,NO,61.9875,5.1352,36.27,70,51,2.19,broken clouds
189,Maarianhamina,AX,60.0973,19.9348,37.26,93,0,1.14,clear sky
190,Nome,US,64.5011,-165.4064,51.87,51,0,10.36,clear sky
191,Constitucion,CL,-35.3333,-72.4167,51.73,63,0,6.76,clear sky
192,Longyearbyen,SJ,78.2186,15.6401,12.04,62,0,0.0,clear sky
193,Chokurdakh,RU,70.6333,147.9167,23.79,88,66,10.56,broken clouds
194,Den Helder,NL,52.9599,4.7593,42.98,95,100,0.0,fog
195,Kargasok,RU,59.0556,80.8572,33.35,50,100,7.99,overcast clouds
196,Saint-Georges,GD,12.0564,-61.7485,80.28,83,75,16.11,broken clouds
197,Lebu,CL,-37.6167,-73.65,49.17,82,9,13.44,clear sky
198,Nusaybin,TR,37.0778,41.2178,62.29,75,100,11.59,overcast clouds
199,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,8,4.61,clear sky
200,Roald,NO,62.5833,6.1333,41.76,100,72,5.75,broken clouds
201,Riverton,US,40.5219,-111.9391,62.83,33,0,5.75,clear sky
202,Tuatapere,NZ,-46.1333,167.6833,55.31,96,100,3.29,light rain
203,Lorengau,PG,-2.0226,147.2712,83.61,77,100,4.76,overcast clouds
204,Pavagada,IN,14.1,77.2667,83.39,57,41,11.27,scattered clouds
205,Paramonga,PE,-10.6667,-77.8333,66.11,88,68,7.2,broken clouds
206,Margate,GB,51.3813,1.3862,48.69,80,100,1.01,overcast clouds
207,Koroni,GR,36.8,21.95,61.07,86,81,2.26,broken clouds
208,Sistranda,NO,63.7256,8.834,42.76,81,88,16.93,overcast clouds
209,Murzzuschlag,AT,47.6,15.6833,44.26,78,100,1.66,overcast clouds
210,Riyadh,SA,24.6877,46.7219,73.54,27,0,7.7,clear sky
211,Bilibino,RU,68.0546,166.4372,21.72,68,17,1.9,few clouds
212,Kalmunai,LK,7.4167,81.8167,84.25,74,89,4.68,overcast clouds
213,San Felipe,VE,10.3399,-68.7425,72.25,89,100,5.32,overcast clouds
214,Haines Junction,CA,60.7522,-137.5108,48.15,34,98,6.91,overcast clouds
215,Beloha,MG,-25.1667,45.05,66.69,83,18,6.93,few clouds
216,Kloulklubed,PW,7.0419,134.2556,81.1,76,90,12.17,overcast clouds
217,Ilulissat,GL,69.2167,-51.1,12.22,62,3,0.0,clear sky
218,Cardston,CA,49.2,-113.3019,53.74,32,100,6.91,overcast clouds
219,Batagay,RU,67.6333,134.6333,34.79,80,15,13.38,few clouds
220,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.12,87,21,4.03,few clouds
221,Cidreira,BR,-30.1811,-50.2056,63.72,94,100,4.76,heavy intensity rain
222,Ponta Delgada,PT,37.7333,-25.6667,62.51,88,20,2.3,few clouds
223,Narsaq,GL,60.9167,-46.05,43.02,79,21,4.41,few clouds
224,Dandong,CN,40.1292,124.3947,59.68,34,100,0.4,overcast clouds
225,Karpathos,GR,35.507,27.2132,62.56,82,10,25.32,clear sky
226,Belyy Yar,RU,53.6039,91.3903,62.85,36,0,4.47,clear sky
227,Tautira,PF,-17.7333,-149.15,80.17,72,15,11.54,few clouds
228,Vozhega,RU,60.4725,40.2213,29.32,93,100,7.23,light snow
229,Shimoda,JP,34.6667,138.95,61.16,81,100,10.42,light rain
230,Yulara,AU,-25.2406,130.9889,64.24,59,100,11.5,overcast clouds
231,Awjilah,LY,29.1081,21.2869,74.03,22,100,11.36,overcast clouds
232,Kitami,JP,43.8031,143.8908,54.86,51,100,18.45,overcast clouds
233,Ketchikan,US,55.3422,-131.6461,61.27,31,0,6.91,clear sky
234,Gunjur,GM,13.2019,-16.7339,68.07,88,100,6.91,overcast clouds
235,Arlit,NE,18.7369,7.3853,84.52,9,61,9.82,broken clouds
236,Fortuna,US,40.5982,-124.1573,55.92,79,100,8.05,overcast clouds
237,Baykit,RU,61.67,96.37,35.46,57,61,9.66,broken clouds
238,Benjamin Hill,MX,30.1667,-111.1,77.68,14,92,8.32,overcast clouds
239,Sinnamary,GF,5.3833,-52.95,78.37,85,54,9.84,broken clouds
240,Ust-Kulom,RU,61.6864,53.6902,29.71,76,57,6.24,broken clouds
241,Pathalgaon,IN,22.5667,83.4667,95.0,19,26,2.77,scattered clouds
242,Nantucket,US,41.2835,-70.0995,48.25,71,0,10.36,clear sky
243,Victoria Point,AU,-27.5833,153.3,76.17,78,100,7.0,overcast clouds
244,Yasugi,JP,35.4333,133.25,57.15,94,75,12.66,broken clouds
245,Mount Gambier,AU,-37.8333,140.7667,67.91,68,75,19.57,broken clouds
246,Severo-Zadonsk,RU,54.0348,38.4017,33.82,68,17,2.37,few clouds
247,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,75,0,9.22,clear sky
248,Coffeyville,US,37.0373,-95.6164,62.65,58,0,4.61,clear sky
249,Nikolskoye,RU,59.7035,30.7861,39.09,76,100,5.64,overcast clouds
